body,timestamp,sender,read
"Recharge of Rs. 149 is successful for your Jio number 9182108704.
Entitlement: Benefits: Free Voice, Unlimited Data (1.5GB High Speed Data per day, thereafter unlimited at 64Kbps), 100SMS/day and Complimentary Subscription to Jio Apps. Validity: 28days.
Transaction ID: 712400688
To manage your account, check plan information, validity and to register for JioPay, click https://www.jio.com/deeplink?id=autopay

Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2018-11-24 10:33:30,JG-JioPay,true
"Recharge of Rs. 149 is successful for your Jio number 9182108704.
Entitlement: Benefits: Free Voice, Unlimited Data (1.5GB High Speed Data per day, thereafter unlimited at 64Kbps), 100SMS/day and Complimentary Subscription to Jio Apps. Validity: 28days.
Transaction ID: 777869795
To manage your account, check plan information, validity and to register for JioPay, click https://www.jio.com/deeplink?id=autopay

Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.",2018-12-22 15:42:59,JG-JioPay,true
"Tickets Booked! 
 Download your M-ticket from https://bmsurl.co/aDufUiybCs and show it at the venue entrance to scan and enter.



Here is your Booking ID - WLLJCGQ for Hushaaru (A) on Tue, 8 Jan, 2019 11:15am, at Sri Mayuri Theatre: RTC X Roads(Sri Mayuri), Seats: lower ba - I10, I8, I9
Please note that you don't require physical tickets to enter the venue.

This transaction cannot be cancelled as per cinema cancellation policy.",2019-01-08 05:03:36,AD-BMSHOW,true
Your SmartCoin Verification Code is 8269,2019-02-14 05:12:35,HP-SmCoin,true
Open Zero Balance A/c for DBT with Kotak Mahindra Bank & get Assured Cashbacks on transactions.T&C apply Avail this offer. Click http://1kx.in/OTilNbEdhJu,2019-02-20 10:31:33,BW-KOTAKB,true
Open Zero Balance A/c for DBT with Kotak Mahindra Bank & get Assured Cashbacks on transactions.T&C apply Avail this offer. Click http://1kx.in/DW5dFiKmeKt,2019-02-21 10:02:52,BW-KOTAKB,true
👤 Baindla Lacky Sri is a new Facebook friend suggestion: https://fb.com/l/1JAKutKGYTNoaLg ,2019-02-23 08:32:00,57575751,true
"Dear Customer, As per your request, your JioTune song has been changed for your Jio Number 9182108704. Charges: Rs. 0.0 To Deactivate, please call 155223 or SMS STOP to 56789. Thankyou, Team Jio.",2019-02-23 15:04:36,JZ-JioApp,true
👤 Ramesh Raam is a new Facebook friend suggestion: https://fb.com/l/1FAU9rvf4SDIrnC ,2019-02-24 15:25:04,57575751,true
"🔔 Priyanka, you have 2 friend requests and 8 new notifications on Facebook: https://fb.com/l/1FdK4H7qA676gZD ",2019-03-01 05:49:10,57575751,true
